,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b1Error,b2Error,b3Error,b4Error,b5Error,b6Error,b7Error,b8Error,b9Error,b10Error,b11Error,b12Error,b13Error,b14Error,b15Error,b16Error,b17Error,b18Error,b19Error,b20Error
1,70,20,60,75,40,30,20,25,35,2,50,65,55,50,3,50,50,50,15,30,6.1318569606087925,5.849899718282385,5.20945336562895,6.6627107559955165,3.925758674183727,5.7846348455575205,2.69634757450372,5.5202409029111115,6.876590029569037,-1.4258848815158356,4.743712426606791,6.625874851354262,5.159871336778389,5.506275135937069,3.6449655285767033,5.536714904819353,6.74211506827759,5.037020488850096,5.238656145623683,4.520748385159937
2,70,20,60,75,48,35,18,22,32,2,45,63,58,51,4,52,50,55,15,28,6.1318569606087925,5.849899718282385,5.20945336562895,6.6627107559955165,2.8474886213099304,5.647458426454921,3.084334599707773,5.61159234060377,6.91296059978506,-1.4258848815158356,4.9905767461133745,6.654798741553673,5.03342300153745,5.474179762148696,3.52476771880241,5.473179588919274,6.74211506827759,4.798660596869802,5.238656145623683,4.641267906584209
3,70,20,60,75,40,30,20,25,33,1,50,60,60,50,4,60,50,55,25,25,6.1318569606087925,5.849899718282385,5.20945336562895,6.6627107559955165,3.925758674183727,5.7846348455575205,2.69634757450372,5.5202409029111115,6.900938667868736,0.4564813210019876,4.743712426606791,6.697125534562674,4.94251450533924,5.506275135937069,3.52476771880241,5.186710366102626,6.74211506827759,4.798660596869802,4.794757858775766,4.805044177135628
4,82,57,66,75,40,32,20,24,32,1,47,62,60,50,1,51,50,56,15,27,5.861086905995394,4.369886626289696,4.954196310386875,6.6627107559955165,3.925758674183727,5.731319031025064,2.69634757450372,5.551338538894775,6.91296059978506,0.4564813210019876,4.896836930944596,6.669046098236026,4.94251450533924,5.506275135937069,3.8589373723855913,5.505296975162707,6.74211506827759,4.745870156525779,5.238656145623683,4.69795107021572
5,70,20,63,75,38,35,16,23,33,2,48,57,60,50,5,52,42,55,15,30,6.1318569606087925,5.849899718282385,5.087462841250339,6.6627107559955165,4.104123911038084,5.647458426454921,3.3897855599595563,5.581779977531495,6.900938667868736,-1.4258848815158356,4.847579399667103,6.738245827670121,4.94251450533924,5.506275135937069,3.3936379675308124,5.473179588919274,6.84609305828477,4.798660596869802,5.238656145623683,4.520748385159937
6,70,20,62,73,38,34,17,24,30,2,49,64,59,50,2,54,51,48,15,28,6.1318569606087925,5.849899718282385,5.129283016944966,6.69091256934938,4.104123911038084,5.675957032941749,3.245128880090913,5.551338538894775,6.936708039099321,-1.4258848815158356,4.796580450463429,6.640409280363423,4.9886846867721655,5.506275135937069,3.755914696967196,5.4067168018393765,6.728574649033616,5.12233175351859,5.238656145623683,4.641267906584209
7,70,20,65,75,40,35,15,25,30,2,51,62,59,50,3,53,50,55,15,26,6.1318569606087925,5.849899718282385,5.0,6.6627107559955165,3.925758674183727,5.647458426454921,3.521250431695509,5.5202409029111115,6.936708039099321,-1.4258848815158356,4.688833098493109,6.669046098236026,4.9886846867721655,5.506275135937069,3.6449655285767033,5.440330891598644,6.74211506827759,4.798660596869802,5.238656145623683,4.7524911029783095
8,80,15,60,90,45,55,20,50,30,2,60,58,60,70,5,60,90,65,35,40,5.909893083770042,5.969841674192497,5.20945336562895,6.431547349789869,3.3501384760896484,4.912889336229962,2.69634757450372,4.385032741040191,6.936708039099321,-1.4258848815158356,4.0696735278068115,6.7246688732717015,4.94251450533924,4.669712948799428,3.3936379675308124,5.186710366102626,6.067124048145707,4.156377758956185,4.150281748023266,3.6954581219552938
9,80,20,60,75,40,25,20,25,30,5,50,10,60,50,5,50,50,55,15,25,5.909893083770042,5.849899718282385,5.20945336562895,6.6627107559955165,3.925758674183727,5.909893083770042,2.69634757450372,5.5202409029111115,6.936708039099321,1.5249708380448488,4.743712426606791,7.2645492256315425,4.94251450533924,5.506275135937069,3.3936379675308124,5.536714904819353,6.74211506827759,4.798660596869802,5.238656145623683,4.805044177135628
10,70,20,65,75,40,35,20,25,30,2,50,60,55,50,2,50,55,55,15,25,6.1318569606087925,5.849899718282385,5.0,6.6627107559955165,3.925758674183727,5.647458426454921,2.69634757450372,5.5202409029111115,6.936708039099321,-1.4258848815158356,4.743712426606791,6.697125534562674,5.159871336778389,5.506275135937069,3.755914696967196,5.536714904819353,6.673105185083313,4.798660596869802,5.238656145623683,4.805044177135628
11,10,50,33,5,60,40,80,50,10,1,50,10,33,33,10,30,20,40,60,70,7.023754353299417,4.7905646046912205,6.0,7.42051167636722,2.3370077622501424,5.495855026887171,5.748686927691188,4.385032741040191,7.154878370744262,0.4564813210019876,4.743712426606791,7.2645492256315425,5.851749041416057,5.964678244037668,2.461951610615813,6.053573974036156,7.098538273990908,5.4206092881153145,2.905624518264527,4.1122673694772836
12,70,20,63,84,44,46,17,23,42,1,45,62,49,52,3,53,52,56,16,28,6.1318569606087925,5.849899718282385,5.087462841250339,6.5285006230575595,3.4851000929279015,5.290018846932618,3.245128880090913,5.581779977531495,6.787980271963343,0.4564813210019876,4.9905767461133745,6.669046098236026,5.383704292474052,5.441354090825038,3.6449655285767033,5.440330891598644,6.714905941134231,4.745870156525779,5.1999305915104435,4.641267906584209
13,370,120,190,1500,80,110,20,105,1000,2,125,700,120,115,15,220,560,55,45,45,7.846273911349907,5.411900046859561,6.543031820255238,10.37061605898916,4.646884759143883,4.651051691178929,2.69634757450372,5.102480480444178,9.727484939269454,-1.4258848815158356,5.598672880752062,9.067403802628927,4.882643049361842,4.307275299655394,-0.9725192635778919,6.952201962251647,8.655358709582108,4.798660596869802,2.9554204895361766,2.991896148454927
15,70,20,60,75,40,35,15,20,30,2,45,60,60,50,3,50,55,55,15,25,6.1318569606087925,5.849899718282385,5.20945336562895,6.6627107559955165,3.925758674183727,5.647458426454921,3.521250431695509,5.669430220493783,6.936708039099321,-1.4258848815158356,4.9905767461133745,6.697125534562674,4.94251450533924,5.506275135937069,3.6449655285767033,5.536714904819353,6.673105185083313,4.798660596869802,5.238656145623683,4.805044177135628
16,140,20,100,175,55,105,30,75,150,2,60,180,100,90,10,140,170,75,50,50,-3.0,5.849899718282385,1.7004397181410922,0.39558513661265493,-2.340340132001221,4.330916878114617,1.9139562640109526,2.1229275219051416,1.325359000287635,-1.4258848815158356,4.0696735278068115,4.043400185429445,3.2479275134435857,2.446812765562995,2.461951610615813,5.453804104621611,3.7226761920060074,2.9693378292586416,1.4628789202557644,1.563250244758661
17,70,15,62,83,37,35,17,22,33,1,46,63,59,51,3,52,50,56,15,28,6.1318569606087925,5.969841674192497,5.129283016944966,6.544044463978004,4.185665486842486,5.647458426454921,3.245128880090913,5.61159234060377,6.900938667868736,0.4564813210019876,4.944468053424995,6.654798741553673,4.9886846867721655,5.474179762148696,3.6449655285767033,5.473179588919274,6.74211506827759,4.745870156525779,5.238656145623683,4.641267906584209
