,n1,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n1Error,n3Error,n4Error,n5Error,n6Error,n7Error,n8Error,n9Error,n10Error,n11Error,n12Error,n13Error,n14Error,n15Error,n16Error,n17Error,n18Error,n19Error,n20Error
1,8,30,19,15,15,19,38,28,22,0,27,8,30,25,33,23,18,19,10,7.045759661382683,6.066089190457772,7.2975167952070645,5.3290325732918005,6.1318569606087925,2.9033447422257335,5.039762670626808,6.960070906085778,4.313086840960343,6.262877854909557,7.095516902724563,6.3706874068072175,6.032367637795728,3.283978740660046,5.986895460520939,7.066606712090789,6.018628987381437,5.07709679674783,5.424760504008711
2,10,35,20,20,18,20,40,30,18,10,28,12,30,20,25,22,17,15,10,7.023754353299417,5.954196310386875,7.2883168108374425,5.13739957088097,6.0687782779854125,2.69634757450372,4.94926554733032,6.936708039099321,3.9889399406724935,6.061596209433392,7.08492915079283,6.2992080183872785,6.032367637795728,2.2450041182368192,6.158282413959288,7.077329285872668,6.040712014937659,5.238656145623683,5.424760504008711
3,8,40,40,30,25,60,60,70,60,15,50,20,70,40,60,60,50,45,10,7.045759661382683,5.832890014164741,7.090805553500852,4.655206622529105,5.909893083770042,5.077602382350742,3.445492427679424,6.366426301042217,5.854938403403954,5.9493403817334745,6.829866853266179,6.144658242831882,4.669712948799428,4.628796023592708,5.186710366102626,6.600627720077425,5.037020488850096,2.9554204895361766,5.424760504008711
4,30,60,50,60,60,70,90,50,60,0,70,50,60,50,80,90,60,60,50,6.7829982089204135,5.20945336562895,6.9808875989351575,2.3370077622501424,4.651051691178929,5.451818098317592,4.274691738780247,6.6795638772727175,5.854938403403954,6.262877854909557,6.5509216469119576,5.348728154231077,5.147799296810629,5.118541821291351,4.03749611277172,6.067124048145707,4.5129706068449655,2.905624518264527,1.563250244758661
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.140829770773001,6.614709844115208,7.470174650708724,5.8124331169398396,6.428360172704291,4.7803935265769,6.167804099563544,7.262150788718612,1.7536862572640188,6.281543711505046,7.364234161511584,6.519636252843212,6.591740786468691,4.045234605861042,6.606165274819941,7.304219670886043,6.389425132244221,5.748369423243789,5.753689800140388
6,18,40,32,35,38,70,86,50,47,0,56,36,45,45,60,76,43,55,34,6.932214751968385,5.832890014164741,7.173082210504932,4.3361022374245195,5.5584207132686645,5.451818098317592,3.94070887927014,6.6795638772727175,5.48793033771898,6.262877854909557,6.7516962019883575,5.774787059601174,5.656842495860286,4.894351399948173,5.186710366102626,6.340706049335238,5.31584757324065,1.3181265247275082,4.244520912000336
7,15,30,15,15,18,20,38,33,25,8,32,17,30,20,23,22,17,16,14,6.967226258835994,6.066089190457772,7.333741043347015,5.3290325732918005,6.0687782779854125,2.69634757450372,5.039762670626808,6.900938667868736,4.515876986496555,6.104161904192102,7.041783580896069,6.204571144249203,6.032367637795728,2.2450041182368192,6.198126681181656,7.077329285872668,6.040712014937659,5.1999305915104435,5.2837435973273745
8,80,95,90,78,35,95,95,85,40,0,85,30,90,70,90,90,60,90,30,5.909893083770042,1.0,6.431547349789869,4.526853579072251,5.647458426454921,6.103674102085747,4.6061916435714085,6.076942813226645,5.243280976578969,6.262877854909557,6.299416184471024,5.924812503605781,2.446812765562995,5.774533666250054,2.682864570160133,6.067124048145707,4.5129706068449655,5.228565563898006,4.520748385159937
9,40,90,25,30,25,60,70,50,30,0,40,35,60,45,50,50,35,40,15,6.64565843240871,2.807354922057604,7.241415740326167,4.655206622529105,5.909893083770042,5.077602382350742,-0.16128090703305373,6.6795638772727175,4.80104527426957,6.262877854909557,6.951417187768212,5.800899899920305,5.147799296810629,4.894351399948173,5.536714904819353,6.74211506827759,5.579897180707366,3.6731695746632065,5.246225218212585
10,5,40,30,20,15,20,40,35,15,10,25,10,30,35,20,20,15,10,15,7.078150807734651,5.832890014164741,7.192938565145818,5.13739957088097,6.1318569606087925,2.69634757450372,4.94926554733032,6.876590029569037,3.686815251233526,6.061596209433392,7.1164621132412105,6.335390354693925,6.032367637795728,4.30307819396751,6.255902824506063,7.098538273990908,6.083889168261367,5.418074519201315,5.246225218212585
11,75,95,95,80,70,90,98,98,18,66,90,66,90,75,80,85,85,90,60,6.025139562278508,1.0,6.3454580511041225,4.646884759143883,3.9188632372745946,5.994770023701727,4.773773219052852,5.768341884438622,3.9889399406724935,3.431845786965398,6.204793422200632,4.6293566200796095,2.446812765562995,5.9006346208005755,4.03749611277172,6.170888017992915,1.2739533062326165,5.228565563898006,2.8668706635260657
12,12,26,13,15,18,20,35,30,21,7,25,10,22,11,15,13,8,9,5,7.001408194392808,6.149747119504682,7.351517700608911,5.3290325732918005,6.0687782779854125,2.69634757450372,5.165680075161978,6.936708039099321,4.238619426087512,6.124982879511341,7.1164621132412105,6.335390354693925,6.198731888066467,2.1730043943742845,6.347334285480378,7.170406590070775,6.22557893512059,5.451428042144878,5.583615016008382
13,240,1000,1000,400,350,1600,1400,2100,550,190,1700,280,1600,460,800,950,700,1000,360,6.64565843240871,9.818981539432443,9.686385884066054,8.43067222700146,8.050528905530555,10.620007540185755,10.37651154263754,10.927588390474597,9.097710360291748,6.8260187663226395,10.585421381679227,7.5660540381710915,10.555354022616,8.796819604221273,9.459080541382288,9.631544365085027,9.270104277829143,9.88797211569941,8.26347959697565
15,12,25,16,20,25,20,40,30,25,10,25,20,30,20,30,25,20,20,15,7.001408194392808,6.169925001442312,7.324769893779467,5.13739957088097,5.909893083770042,2.69634757450372,4.94926554733032,6.936708039099321,4.515876986496555,6.061596209433392,7.1164621132412105,6.144658242831882,6.032367637795728,2.2450041182368192,6.053573974036156,7.044919480800801,5.973422246147153,5.033712786622464,5.246225218212585
16,100,175,160,120,133,180,180,180,150,0,160,66,150,95,165,170,150,175,40,5.3264294871223035,6.290018846932618,4.028169190047014,6.023533399913954,5.588714635582264,7.2646153459550025,6.772885523750708,4.794106374760184,7.208261763078048,6.262877854909557,1.9112557881699275,4.6293566200796095,5.776048627439371,6.317238658855285,6.104938433870212,3.7226761920060074,6.075066912120189,6.936560455985237,3.6954581219552938
17,10,31,24,15,16,27,42,26,15,8,28,12,30,17,23,21,9,12,5,7.023754353299417,6.044394119358453,7.250918725749053,5.3290325732918005,6.111135670234707,-0.38005019971928355,4.852709557457456,6.9830614582393595,3.686815251233526,6.104161904192102,7.08492915079283,6.2992080183872785,6.032367637795728,0.7994061689421129,6.198126681181656,7.08797275361591,6.206169779915684,5.348961053584378,5.583615016008382
